0,retirement,11,4.000000
0,lakewood,23,0.111111
0,outkast,21,0.750000
0,valencia,27,0.500000
1,scots,120,0.550000
1,morocco,120,0.529412
1,tracker,120,0.219178
0,comfort,5,2.000000
1,acclaim,120,0.187500
1,geisha,121,0.060606
1,matches,121,0.032258
0,widespread,13,2.000000
0,poland,16,0.285714
1,wilder,121,0.000000
1,wilder,121,0.000000
0,rogers,23,0.125000
0,scanner,8,0.125000
0,succeeding,17,0.500000
1,tonnes,6,0.000000
1,tonnes,6,0.000000
0,territory,10,0.285714
0,menopause,13,0.500000
1,blind,30,0.000000
1,lambda,10,0.000000
1,lambda,10,0.000000
0,fantasy,9,0.125000
0,blazer,12,0.285714
0,vehicles,9,0.125000
0,allen,8,0.125000
0,educator,10,0.800000
1,flower,16,0.000000
0,maiden,17,0.500000
1,uruguay,51,0.181818
0,regent,15,0.285714
1,renal,50,0.038462
1,renal,51,0.038462
0,christina,15,0.285714
1,cleanup,51,0.041096